,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
0,<__main__.Entity object at 0x7f6723797320>,Election,40,[],"{0, 1025, 258, 2820, 5, 773, 8, 3082, 909, 528, 274, 20, 276, 1046, 664, 2202, 1564, 802, 291, 170, 555, 1835, 2864, 1969, 1850, 2875, 446, 1985, 1357, 1242, 1506, 3170, 1381, 1637, 2534, 3047, 239, 367, 372, 245}",{'election'},0.21272453703703703,0.12291666666666667
1,<__main__.Entity object at 0x7f67237995f8>,Donald_Trump,884,"['Person', 'Agent', 'Politician']","{2048, 1, 2050, 2051, 6, 7, 2055, 9, 10, 2056, 2061, 16, 2064, 18, 2065, 2068, 2073, 26, 2074, 2075, 29, 2076, 2080, 34, 38, 39, 2088, 41, 45, 49, 2099, 55, 56, 57, 58, 62, 63, 2112, 65, 66, 67, 69, 70, 71, 72, 74, 75, 2126, 79, 80, 2129, 82, 2131, 84, 85, 2134, 87, 88, 89, 90, 91, 2135, 93, 2138, 99, 102, 103, 2152, 105, 107, 108, 110, 112, 115, 116, 2165, 122, 123, 124, 2172, 129, 2177, 131, 2182, 139, 142, 2191, 145, 2195, 2196, 149, 2197, 151, 152, 2203, 157, 158, 2205, 165, 168, 169, 171, 174, 175, 177, 181, 2229, 2247, 2248, 2250, 204, 205, 206, 210, 2258, 215, 216, 219, 233, 2285, 2302, 2303, 2304, 257, 2305, 2308, 2312, 2314, 2315, 268, 2317, 2318, 2319, 272, 2321, 274, 2322, 2323, 2324, 2328, 282, 2330, 284, 2331, 286, 287, 2332, 2333, 292, 293, 295, 296, 297, 298, 299, 2358, 312, 313, 314, 315, 316, 318, 319, 320, 321, 322, 323, 2369, 2370, 2372, 327, 328, 329, 330, 331, 332, 2386, 341, 2389, 2390, 347, 348, 349, 2395, 351, 2396, 2399, 2401, 361, 2410, 2413, 2415, 2419, 2423, 380, 381, 382, 384, 386, 387, 391, 393, 394, 396, 397, 398, 402, 403, 404, 405, 2456, 2457, 2458, 2459, 2460, 2462, 2465, 424, 425, 426, 2472, 428, 429, 2476, 2477, 435, 436, 437, 438, 2484, 2488, 441, 442, 2491, 444, 449, 460, 461, 2511, 465, 467, 468, 480, 485, 2537, 491, 493, 496, 497, 499, 506, 510, 511, 2564, 520, 2568, 522, 2570, 2572, 2585, 539, 2587, 2589, 542, 2590, 2591, 2594, 2597, 2598, 551, 552, 553, 2600, 2601, 2603, 557, 2604, 559, 560, 2607, 562, 2608, 564, 565, 566, 2610, 568, 2615, 570, 571, 572, 2616, 2617, 2618, 2620, 2621, 2624, 2625, 580, 2627, 2630, 583, 584, 2631, 586, 2632, 2634, 589, 2637, 2641, 594, 2643, 2645, 2646, 599, 600, 2647, 602, 2651, 2652, 2653, 606, 2655, 610, 611, 2658, 2667, 2668, 621, 623, 625, 2674, 2678, 635, 2683, 2684, 2685, 2686, 2687, 641, 2692, 646, 647, 2694, 2695, 2698, 651, 652, 653, 654, 2700, 656, 657, 658, 2704, 2706, 661, 662, 2710, 2712, 665, 667, 668, 2716, 670, 671, 2718, 2720, 2721, 675, 676, 677, 2722, 679, 2723, 681, 2727, 683, 684, 2730, 686, 687, 688, 689, 690, 691, 692, 693, 2734, 695, 2736, 2737, 2738, 2739, 2741, 2743, 2746, 2748, 707, 708, 2757, 711, 712, 2759, 2764, 2765, 2772, 725, 726, 729, 730, 2782, 735, 736, 740, 2790, 2792, 745, 746, 2794, 748, 749, 2796, 2797, 2799, 2800, 2804, 763, 765, 766, 2814, 768, 769, 2816, 771, 772, 2822, 2823, 2826, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 2842, 2850, 804, 805, 806, 2851, 808, 2857, 810, 2858, 2862, 2866, 2870, 824, 2872, 2874, 2877, 831, 2880, 834, 836, 2885, 841, 2890, 2891, 2892, 845, 2894, 850, 853, 855, 856, 2903, 2907, 862, 863, 2912, 865, 866, 867, 868, 869, 870, 871, 876, 2925, 878, 880, 2931, 2932, 2935, 889, 890, 2939, 2940, 2941, 894, 2942, 896, 2943, 2944, 900, 901, 2949, 903, 904, 905, 906, 907, 908, 2950, 2951, 2952, 2955, 2957, 2958, 2960, 916, 2962, 2963, 2965, 920, 2967, 2970, 2972, 925, 926, 2973, 2979, 2980, 933, 934, 936, 937, 938, 939, 942, 943, 944, 945, 2994, 953, 955, 956, 957, 958, 959, 960, 3004, 963, 3017, 970, 971, 3026, 979, 3027, 984, 985, 3035, 3038, 991, 992, 3040, 3043, 3044, 999, 1002, 3051, 3052, 1006, 1007, 1008, 1009, 3054, 3055, 1012, 1013, 1014, 3056, 3057, 3058, 1018, 3059, 3060, 1021, 3063, 1028, 1032, 1033, 1035, 1037, 1038, 1043, 1047, 1048, 1054, 1055, 1056, 1061, 1063, 1064, 1066, 3117, 3118, 1071, 1072, 1074, 1078, 3126, 3128, 3130, 1085, 1086, 1087, 3135, 3140, 1095, 1103, 1104, 1105, 1109, 1111, 1118, 1121, 1123, 1124, 1125, 3172, 1127, 1128, 1129, 1135, 1138, 1142, 3193, 1148, 1151, 1161, 1165, 1166, 1167, 1169, 1170, 1177, 1179, 1188, 1189, 1190, 1195, 1197, 1199, 1205, 1207, 1215, 1217, 1220, 1228, 1231, 1236, 1253, 1254, 1261, 1263, 1266, 1267, 1269, 1298, 1303, 1304, 1305, 1340, 1362, 1363, 1364, 1368, 1393, 1396, 1397, 1398, 1407, 1409, 1410, 1412, 1415, 1417, 1418, 1419, 1420, 1421, 1448, 1450, 2731, 2732, 1504, 1538, 1539, 1546, 1549, 1551, 1552, 1553, 1554, 1555, 1556, 1574, 1575, 1584, 1587, 1594, 1604, 1612, 1616, 1621, 1622, 1627, 1636, 1650, 1651, 1656, 1661, 1663, 1670, 1688, 1693, 1695, 1698, 1704, 1706, 1707, 1709, 1710, 1711, 1712, 1713, 1714, 1715, 1716, 1719, 1720, 1726, 1728, 1730, 1732, 1733, 1738, 1742, 1744, 1750, 1752, 1754, 1755, 1756, 1759, 1761, 1766, 1768, 1769, 1772, 1773, 1774, 1775, 1783, 1789, 1791, 1792, 1794, 1795, 1796, 1798, 1800, 1802, 1805, 1806, 1811, 1812, 1817, 1818, 1819, 1821, 1822, 1823, 1825, 1826, 1828, 1829, 1830, 1834, 1839, 1841, 1848, 1852, 1863, 1864, 1865, 1867, 1868, 1873, 1879, 1883, 1884, 1887, 1889, 1891, 1892, 1899, 1900, 1901, 1902, 1903, 1907, 1915, 1916, 1928, 1939, 1941, 2828, 1943, 1945, 1946, 1959, 2835, 2837, 1987, 1988, 2839, 1999, 2840, 2009, 2010, 2014, 2017, 2046}","{'President Trump', 'Donald Trump', 'Trump'}",0.06432938456504031,0.0
2,<__main__.Entity object at 0x7f67237acba8>,President_of_the_United_States,396,[],"{2, 10, 16, 25, 2081, 2083, 2085, 2087, 2088, 41, 2089, 43, 2090, 2091, 2092, 47, 2093, 2094, 2095, 2096, 2099, 2100, 54, 2101, 2106, 59, 2108, 61, 2109, 2110, 2111, 2113, 68, 71, 2121, 2132, 2139, 2152, 115, 2164, 123, 124, 126, 128, 129, 131, 139, 2188, 141, 145, 150, 151, 2203, 156, 158, 159, 2208, 2211, 167, 174, 180, 2246, 2253, 206, 217, 240, 252, 259, 271, 274, 2322, 277, 2326, 2327, 281, 287, 299, 300, 301, 2348, 2352, 306, 309, 310, 313, 316, 319, 320, 321, 323, 2372, 330, 332, 333, 2383, 2385, 2391, 2392, 2394, 349, 2398, 368, 370, 2419, 386, 391, 2443, 401, 404, 2456, 2464, 2467, 423, 430, 431, 2486, 2487, 441, 442, 443, 444, 2493, 2494, 445, 2496, 446, 447, 448, 2500, 449, 450, 451, 452, 453, 454, 455, 456, 457, 2502, 2505, 2510, 2516, 2519, 2537, 2540, 2542, 2544, 497, 2549, 503, 521, 523, 524, 2577, 2578, 2587, 558, 560, 561, 563, 2612, 2618, 2619, 2623, 2635, 588, 590, 591, 592, 596, 597, 598, 600, 610, 616, 2664, 632, 2684, 637, 640, 646, 2696, 649, 654, 2709, 2711, 676, 2729, 2736, 2740, 695, 698, 2764, 2765, 722, 2772, 2776, 2779, 2792, 2798, 2799, 2806, 2815, 2830, 787, 2840, 2841, 796, 822, 829, 847, 856, 2906, 870, 2925, 2930, 2933, 2935, 892, 2944, 897, 902, 2953, 918, 2967, 2973, 939, 2990, 2994, 953, 962, 3015, 970, 3055, 1015, 1037, 1060, 3109, 1066, 1106, 1119, 1139, 1144, 1148, 3197, 1152, 1154, 1155, 3202, 3206, 1159, 3213, 1179, 1183, 1194, 1230, 1231, 1247, 1259, 1262, 1268, 1284, 1287, 1288, 1292, 1294, 1326, 1341, 1343, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1389, 1390, 1411, 1414, 1426, 1428, 1437, 1449, 1453, 1457, 1468, 1469, 1475, 1520, 1521, 1522, 1524, 1527, 1534, 1535, 1536, 1542, 1547, 1548, 1554, 1562, 1568, 1606, 1614, 1623, 1628, 1634, 1666, 1676, 1690, 1713, 1716, 1741, 1784, 1806, 1807, 1809, 1811, 1814, 1829, 1845, 1853, 1863, 1865, 1874, 1878, 1943, 1946, 1947, 1964, 1968, 1981, 1987, 1993, 2000, 2002, 2006, 2012, 2013, 2015, 2016, 2019, 2020}","{'presidential', 'President', 'U.S. presidency', 'United States presidency', '@POTUS', 'POTUS', 'president', '@potus', 'U.S. president'}",0.14389515092968178,0.0
3,<__main__.Entity object at 0x7f67237ac2e8>,Go_(game),9,"['Activity', 'Game']","{33, 5, 232, 2989, 3191, 3095, 3225, 3196, 221}",{'Go'},0.22042297979797978,0.13636363636363635
4,<__main__.Entity object at 0x7f67237aa2e8>,Hydrogen,106,"['ChemicalSubstance', 'ChemicalCompound']","{2049, 5, 517, 1036, 2060, 3085, 2576, 3090, 2592, 2613, 1083, 3132, 3138, 2115, 3143, 3144, 2122, 2130, 3159, 3162, 1630, 3182, 2162, 2676, 630, 119, 2171, 1669, 134, 3205, 3206, 3207, 3208, 3209, 3220, 1687, 154, 2208, 2209, 2725, 679, 1703, 685, 2225, 704, 2245, 2246, 202, 1234, 2259, 2261, 214, 2263, 741, 2279, 1778, 2803, 1781, 762, 2815, 770, 2834, 2335, 2337, 807, 1326, 815, 2351, 818, 1842, 2867, 2367, 2889, 1866, 2379, 2917, 360, 2924, 2926, 881, 2934, 887, 1912, 383, 2956, 917, 2455, 2462, 2977, 2473, 2488, 3000, 3015, 2505, 459, 972, 464, 481, 482, 3041, 3045, 998, 492, 2549, 505, 2042}",{'H'},0.20024733521195784,0.23333333333333334
5,<__main__.Entity object at 0x7f67237bf2b0>,Single_(music),10,[],"{2978, 2717, 7, 712, 1544, 2986, 115, 947, 1853, 1439}",{'single'},-0.016329365079365075,-0.05595238095238095
6,<__main__.Entity object at 0x7f6723e5e208>,Friction,1,[],{7},{'friction'},-0.03571428571428571,-0.03571428571428571
7,<__main__.Entity object at 0x7f6723891588>,Lied,5,[],"{9, 683, 149, 2648, 667}",{'lied'},-0.12925925925925927,-0.016666666666666663
8,<__main__.Entity object at 0x7f67237a9eb8>,United_States,336,"['PopulatedPlace', 'Place', 'Location', 'Country']","{2049, 1026, 1027, 1542, 9, 2057, 1551, 2063, 2583, 25, 1562, 2074, 2075, 2077, 2587, 2588, 1568, 2589, 2082, 1571, 1060, 1572, 1062, 1573, 2597, 2599, 555, 1580, 2096, 2098, 3123, 3129, 3134, 3136, 1089, 66, 1091, 1092, 2116, 582, 1094, 72, 1096, 1609, 1610, 1612, 2120, 2123, 2630, 2128, 3144, 595, 2643, 2135, 1114, 605, 607, 1120, 610, 1122, 1634, 1635, 614, 1127, 3172, 1651, 116, 1652, 1142, 2679, 122, 637, 3198, 1151, 1663, 642, 643, 1666, 1158, 1159, 648, 2182, 1162, 3208, 1166, 1678, 2191, 1169, 2195, 2196, 2197, 2198, 1688, 1690, 1691, 2205, 2717, 2718, 672, 2209, 2721, 164, 165, 2215, 1706, 2730, 1196, 2220, 174, 686, 1710, 2221, 2227, 692, 2739, 184, 1209, 699, 1212, 1213, 702, 703, 1215, 2749, 2243, 196, 1227, 1229, 1231, 2256, 723, 1236, 1748, 2261, 1239, 729, 2781, 222, 734, 224, 1248, 1249, 2782, 2787, 2590, 744, 233, 2280, 2282, 2285, 2798, 1266, 3101, 1781, 1270, 2294, 1272, 2295, 1787, 2811, 1789, 2817, 771, 1284, 1286, 1798, 2311, 777, 1292, 1294, 783, 784, 2319, 787, 2838, 1304, 2329, 282, 2842, 797, 288, 1313, 2337, 805, 809, 1323, 300, 814, 1842, 310, 313, 2366, 319, 323, 324, 1347, 1349, 2375, 329, 842, 331, 332, 1353, 1357, 336, 1360, 1362, 1363, 1364, 1877, 2384, 345, 2906, 347, 1371, 349, 350, 2397, 1376, 353, 1378, 1379, 2907, 2910, 359, 1383, 1385, 1387, 1901, 366, 1903, 1906, 884, 1910, 1911, 2936, 1915, 2427, 1405, 2939, 2941, 897, 387, 1923, 2437, 1414, 1926, 392, 393, 904, 1417, 1419, 1933, 2957, 400, 1939, 405, 2625, 413, 2626, 415, 1442, 422, 1958, 936, 2628, 2987, 940, 941, 947, 2484, 439, 953, 1977, 443, 2491, 3002, 3010, 963, 3011, 1989, 966, 1991, 970, 972, 464, 980, 982, 2006, 2524, 989, 2526, 3039, 999, 2025, 3049, 2539, 2542, 1007, 1012, 1013, 2548, 1015, 2550, 1022}","{'United States', 'americanos', 'Estados Unidos', 'American', 'U.S.', 'USA', 'America', 'US'}",0.14381095498308613,0.06818181818181818
9,<__main__.Entity object at 0x7f6723e0f320>,2016_United_States_presidential_debates,2,[],"{96, 9}",{'presidential debate'},0.08825757575757576,0.08825757575757576
