,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
0,<__main__.Entity object at 0x7f3187ba5748>,Rallying,42,[],"{0, 1541, 1036, 526, 144, 3089, 1558, 164, 2859, 1580, 1588, 1974, 2107, 63, 2111, 2367, 2115, 3146, 1739, 2941, 1742, 3024, 1624, 2008, 3160, 1246, 351, 1248, 1633, 94, 229, 236, 110, 1265, 3057, 3187, 2167, 2553, 2172, 1277, 1791}",{'rally'},0.2530917405764967,0.2520833333333333
1,<__main__.Entity object at 0x7f31883d22e8>,Mid-America_Center,1,[],{0},{'Mid-America Center'},-0.125,-0.125
2,<__main__.Entity object at 0x7f31883d2320>,RailsWest_Railroad_Museum,1,"['Place', 'Location', 'ArchitecturalStructure', 'Building']",{0},"{'Council Bluffs, Iowa'}",-0.125,-0.125
3,<__main__.Entity object at 0x7f3187c4b2e8>,The_Beach_Boys_Today!,20,"['Work', 'MusicalWork', 'Album']","{160, 1, 1954, 1477, 999, 2119, 3048, 971, 2426, 2159, 1458, 1395, 788, 1459, 2162, 2198, 1497, 922, 61, 510}","{'TODAY!', 'today!'}",0.21592092803030302,0.0
4,<__main__.Entity object at 0x7f3187bdc128>,Hillary_Clinton,173,"['Person', 'Agent', 'Politician']","{3, 1547, 13, 1551, 2579, 20, 21, 532, 534, 542, 33, 1570, 35, 3111, 1583, 50, 566, 2107, 60, 572, 579, 70, 585, 1099, 588, 1100, 3147, 2128, 595, 88, 600, 601, 602, 1114, 606, 1120, 97, 98, 1636, 105, 631, 1144, 635, 640, 1152, 1155, 656, 150, 663, 1178, 669, 1693, 671, 672, 678, 1704, 1193, 170, 683, 1195, 173, 174, 1198, 1202, 1203, 1208, 188, 2240, 196, 199, 208, 1764, 233, 1262, 2801, 1266, 2811, 768, 2818, 259, 1285, 775, 776, 266, 1297, 1301, 1303, 1314, 810, 811, 1323, 814, 1327, 1330, 310, 312, 827, 1339, 1341, 831, 320, 322, 324, 326, 327, 1350, 844, 847, 849, 850, 852, 853, 2393, 346, 866, 1894, 1392, 881, 1394, 884, 885, 1918, 391, 906, 2954, 400, 1429, 921, 410, 931, 932, 425, 427, 1451, 429, 1452, 949, 950, 952, 956, 1471, 448, 1472, 464, 2001, 985, 476, 988, 990, 1500, 1502, 1504, 482, 994, 995, 996, 2016, 487, 2018, 2024, 1514, 491, 1007, 496, 1011, 1013, 1526, 1015, 1016, 511}","{'Clinton', 'Hillary Clinton', 'HRC', 'HILLARY CLINTON'}",-0.06235956266344921,0.0
5,<__main__.Entity object at 0x7f31883d24a8>,United_States_House_Committee_on_the_Judiciary,1,[],{3},{'Claims'},-0.4000000000000001,-0.4000000000000001
6,<__main__.Entity object at 0x7f3187d0ecf8>,Corporation,2,[],"{3, 2790}",{'Disclosure'},-0.16000000000000003,-0.16000000000000003
7,<__main__.Entity object at 0x7f3188318e10>,CNBC,3,"['Organisation', 'Broadcaster', 'Agent', 'TelevisionStation']","{4, 21, 166}",{'CNBC'},0.25,0.25
8,<__main__.Entity object at 0x7f3187bdc518>,Time_(magazine),6,"['WrittenWork', 'Work', 'PeriodicalLiterature', 'Magazine']","{4, 3145, 2578, 1395, 22, 1918}","{'TIME', 'Time magazine', 'TIME magazine'}",0.046875,0.0
9,<__main__.Entity object at 0x7f3187bb0390>,Donald_Trump,298,"['Person', 'Agent', 'Politician']","{4, 517, 1544, 2056, 2059, 13, 1550, 16, 1040, 3088, 20, 21, 3092, 23, 1048, 1049, 3095, 1563, 2588, 2589, 2078, 2079, 3096, 2594, 1573, 2597, 2598, 1576, 2552, 2602, 2091, 1071, 1586, 2100, 2102, 3130, 60, 2108, 64, 2625, 69, 72, 3149, 1102, 1108, 2132, 2135, 2142, 3166, 1632, 1121, 610, 2147, 3167, 3173, 616, 1129, 618, 1644, 3180, 2671, 629, 3189, 119, 2171, 125, 638, 3198, 2688, 2689, 2690, 2691, 2692, 2693, 646, 1158, 1672, 2184, 1162, 1163, 2186, 2694, 2695, 2696, 2697, 2698, 1170, 2706, 3216, 154, 1178, 1179, 2715, 2716, 1187, 2724, 2725, 1190, 2726, 1704, 1196, 685, 1197, 2987, 2234, 2746, 2237, 2238, 2240, 2754, 1221, 1225, 1737, 1227, 1228, 2762, 1742, 2254, 208, 1749, 1750, 2262, 217, 1753, 1754, 2266, 1757, 2782, 3199, 1763, 3200, 230, 231, 1767, 1768, 753, 2803, 1269, 2293, 1784, 3205, 2818, 2901, 773, 263, 2902, 2831, 2835, 1301, 2839, 2840, 2846, 287, 288, 2850, 2340, 1829, 295, 2343, 2855, 1322, 1834, 2858, 2859, 303, 2358, 311, 2359, 1849, 2876, 2877, 1342, 1343, 1856, 2366, 1347, 1860, 1351, 2891, 2894, 2386, 1363, 2387, 2898, 2390, 2391, 1368, 1369, 1370, 1880, 1881, 1885, 2392, 1375, 2396, 2915, 2916, 357, 1896, 1899, 2923, 1902, 2414, 2928, 2929, 2931, 1909, 1404, 2941, 1406, 2430, 2942, 2943, 2950, 1929, 2442, 2443, 2446, 400, 1426, 1437, 2463, 2979, 1444, 2468, 1959, 937, 938, 1451, 1452, 1963, 430, 943, 944, 1457, 2481, 2482, 2484, 2995, 952, 1977, 3002, 1467, 447, 1472, 1984, 1986, 1987, 1988, 1477, 1989, 1479, 456, 457, 968, 3017, 3019, 2002, 3026, 2516, 3027, 1495, 986, 475, 2524, 481, 994, 995, 2019, 3043, 2534, 2024, 489, 1513, 2538, 2029, 2033, 2040, 1022}","{'Trump', 'Donald J Trump', 'DONALD TRUMP', 'Donald Trump', 'President Trump'}",0.19118144046067434,0.1
10,<__main__.Entity object at 0x7f318854fef0>,2016_United_States_presidential_debates,1,[],{4},{'presidential debate'},0.25,0.25
11,<__main__.Entity object at 0x7f3187bb0be0>,Make_America_Great_Again,150,[],"{1536, 1025, 1537, 1538, 4, 2562, 6, 8, 9, 2569, 11, 525, 526, 1037, 3085, 20, 22, 534, 535, 1561, 27, 1563, 1564, 2077, 35, 39, 40, 570, 1599, 2113, 66, 71, 2634, 75, 3147, 80, 1616, 1619, 2655, 611, 1124, 2659, 3174, 3176, 2160, 3187, 628, 2678, 123, 1663, 133, 135, 136, 2186, 651, 652, 141, 142, 3214, 1681, 3217, 155, 668, 1180, 162, 164, 1189, 2214, 1192, 2220, 180, 1716, 182, 184, 2235, 190, 198, 1224, 208, 726, 2778, 224, 2784, 228, 2276, 2797, 2800, 753, 1269, 250, 1275, 2298, 1792, 769, 259, 773, 1797, 1799, 266, 1803, 1294, 783, 272, 273, 1298, 1810, 1308, 1824, 1835, 2372, 1862, 331, 2380, 1871, 2404, 360, 1391, 368, 369, 2417, 373, 1910, 384, 1932, 909, 2956, 923, 1956, 424, 2478, 943, 2997, 1464, 1465, 442, 1977, 2495, 457, 1488, 2521, 2525, 480, 2017, 1512, 490, 492, 505, 507, 508, 1533}","{'MAKE AMERICA GREAT AGAIN', 'MAGA', 'Make America Great Again'}",0.5216041695476591,0.5
12,<__main__.Entity object at 0x7f318853a358>,Little_Havana,1,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'CityDistrict']",{5},{'Little Havana'},0.2828125,0.2828125
13,<__main__.Entity object at 0x7f3187d0e128>,Race_and_ethnicity_in_the_United_States_Census,15,[],"{5, 1445, 1439, 1503, 1179, 2782, 302, 1170, 1499, 1498, 317, 765, 1502, 991}","{'Hispanics', 'Latino', 'Black', 'Native American', 'Hispanic'}",0.16958987193362193,0.16666666666666666
14,<__main__.Entity object at 0x7f31883bd6a0>,24_Hrs_(album),1,"['Work', 'MusicalWork', 'Album']",{6},{'24 hrs'},0.0,0.0
