,tweet
0,The question in this Election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG
1,"Last night, DonaldTrump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF"
2,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next PresidentoftheUnitedStates.
3,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy"
4,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis
5,This Election is too important to sit out. Gogame to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -Hydrogen
6,When DonaldTrump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS
7,3) Has DonaldTrump offered a Singlemusic proposal to reduce the Friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq
8,"The Election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM"
9,DonaldTrump Lied to the UnitedStates people at least 58 times during the first 2016UnitedStatespresidentialdebates. (We counted.) https://t.co/h43O6Rws4S
10,"“She gained about 55 Poundsterling in...9 months. She was like an eating machine.” —DonaldTrump, a man who wants to be PresidentoftheUnitedStates: https://t.co/1ht91eZCyw"
11,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG
12,"""I Love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate"
13,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether"
14,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary"
15,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM
16,"""What kind of a person would want to Root for 9 million families losing their homes?

One who should never be PresidentoftheUnitedStates."" —Hillary on DonaldTrump"
17,"""I don’t think that any Family should have to pay more than 10% of their income on Childcare.” —Hillary https://t.co/pepW0auI8n"
18,"""I’m really TheGladProductsCompany my dad never had a contract with DonaldTrump.” —Hillary https://t.co/un2YiRLEYF"
19,"When you work hard, you should not be living in Poverty. https://t.co/86sTOCAkkq"
20,"""We may have a record-setting VoterVoterturnout in this Election.

We could have the biggest VoterVoterturnout we've ever had."" https://t.co/tTgeqxNqYm"
21,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And GabbyBarrett you all will.” —Hillary #NationalVoterRegistrationDay"
22,Join Hillary live in NorthCarolina for her first Rallying since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay
23,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7
24,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT"
25,Hillary was the winner of the first PresidentoftheUnitedStates debate—and newspapers across UnitedStates agree. #SheWon… https://t.co/oDiUHd0eXO
26,"DonaldTrump sobre AliciaMachado Eurocode6Designofmasonrystructures: ""Miss MissPiggy""

Esta mañana: ""Aumentó mucho de Peso... era un problema Serioriver"". https://t.co/Sv92DhXTPJ"
27,Register and vote for DemocraticPartyUnitedStates like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN
28,I've been fortunate to meet YoungAmericans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO
29,"""She gained a massive amount of weight...it was a real problem."" —DonaldTrump this morning on AliciaMachado https://t.co/LJPlFegSTs"
30,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; Unconsciousmind so that every person could register and vote. Do your part."
31,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv
32,"When you have a really, really Gobots. #SheWon https://t.co/FVeGqhYxRZ"
33,"""Register. Vote. Gogame out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm"
34,"""ImGlad DonaldTrump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging Gravity."" —@JoeBiden"
35,"“Let me tell you who built this damn country: the Middleclass.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm"
36,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon
